data_type,approaches,distribution,repetition,train_loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
S1000,Ciil,setting2,0,0.3368207812309265,0.2564760744571686,94,13,1,63,0.9181286549707602,0.9314398364485981,0.8289473684210527,0.984375,0.9,0.8403564066435835
S1000,sst_uka,setting2,1,0.11678890138864517,0.22945214807987213,100,7,7,57,0.9181286549707602,0.9126022196261683,0.890625,0.890625,0.890625,0.8252044392523364
S1000,sst_umg,setting2,1,0.15472213923931122,0.29196950793266296,89,18,1,63,0.8888888888888888,0.9080753504672897,0.7777777777777778,0.984375,0.8689655172413793,0.7910218311672426
S1000,sst_ukk,setting2,1,0.2953745126724243,0.2464597374200821,102,5,3,61,0.9532163742690059,0.9531980140186915,0.9242424242424242,0.953125,0.9384615384615385,0.9010175541600056
S1000,sst_ukl,setting2,1,0.11668273061513901,0.21946509182453156,99,8,4,60,0.9298245614035088,0.9313668224299065,0.8823529411764706,0.9375,0.9090909090909091,0.8530717143218944
S1000,sst_imise,setting2,1,0.14838562905788422,0.19943493604660034,103,4,3,61,0.9590643274853801,0.9578709112149533,0.9384615384615385,0.953125,0.9457364341085271,0.9129464705674794
S1000,sst_hsm,setting2,1,0.2676885426044464,0.3853154182434082,82,25,1,63,0.847953216374269,0.8753650700934579,0.7159090909090909,0.984375,0.8289473684210527,0.726917870691892
S1000,iil,setting2,1,0.31446215510368347,0.34284818172454834,86,21,1,63,0.8713450292397661,0.8940566588785046,0.75,0.984375,0.8513513513513513,0.7629064258154044
S1000,Ciil,setting2,1,0.3409508764743805,0.2646084427833557,93,14,1,63,0.9122807017543859,0.9267669392523364,0.8181818181818182,0.984375,0.8936170212765957,0.8302203038658267
S1000,sst_uka,setting2,2,0.10057796537876129,0.22523987293243408,100,7,10,54,0.9005847953216374,0.8891647196261683,0.8852459016393442,0.84375,0.864,0.7862923912090002
S1000,sst_umg,setting2,2,0.15903711318969727,0.30127906799316406,90,17,1,63,0.8947368421052632,0.9127482476635513,0.7875,0.984375,0.875,0.8006291900821215
S1000,sst_ukk,setting2,2,0.2941366136074066,0.24432718753814697,100,7,3,61,0.9415204678362573,0.9438522196261683,0.8970588235294118,0.953125,0.9242424242424242,0.8777628556809066
S1000,sst_ukl,setting2,2,0.10515065491199493,0.21401038765907288,100,7,4,60,0.935672514619883,0.9360397196261683,0.8955223880597015,0.9375,0.916030534351145,0.8645375325124393
S1000,sst_imise,setting2,2,0.15898457169532776,0.20415949821472168,104,3,4,60,0.9590643274853801,0.954731308411215,0.9523809523809523,0.9375,0.9448818897637795,0.9123985272572321
S1000,sst_hsm,setting2,2,0.24773085117340088,0.39701980352401733,77,30,1,63,0.8187134502923976,0.8520005841121495,0.6774193548387096,0.984375,0.802547770700637,0.6840163456974745
S1000,iil,setting2,2,0.3393724858760834,0.34600791335105896,86,21,1,63,0.8713450292397661,0.8940566588785046,0.75,0.984375,0.8513513513513513,0.7629064258154044
S1000,Ciil,setting2,2,0.3662932515144348,0.27606579661369324,92,15,2,62,0.9005847953216374,0.9142815420560748,0.8051948051948052,0.96875,0.8794326241134752,0.8059315661479385
S1000,sst_uka,setting2,3,0.11137928068637848,0.23812513053417206,99,8,9,55,0.9005847953216374,0.8923043224299065,0.873015873015873,0.859375,0.8661417322834646,0.7871415040066005
S1000,sst_umg,setting2,3,0.16001905500888824,0.2837179899215698,93,14,1,63,0.9122807017543859,0.9267669392523364,0.8181818181818182,0.984375,0.8936170212765957,0.8302203038658267
S1000,sst_ukk,setting2,3,0.30706337094306946,0.2496309131383896,101,6,3,61,0.9473684210526315,0.9485251168224299,0.9104477611940298,0.953125,0.9312977099236641,0.889292374786322
S1000,sst_ukl,setting2,3,0.10766725987195969,0.22210702300071716,100,7,3,61,0.9415204678362573,0.9438522196261683,0.8970588235294118,0.953125,0.9242424242424242,0.8777628556809066
S1000,sst_imise,setting2,3,0.16118964552879333,0.2029629349708557,104,3,3,61,0.9649122807017544,0.962543808411215,0.953125,0.953125,0.953125,0.9250876168224299
S1000,sst_hsm,setting2,3,0.25753095746040344,0.39113831520080566,79,28,1,63,0.8304093567251462,0.8613463785046729,0.6923076923076923,0.984375,0.8129032258064516,0.7009223176572473
S1000,iil,setting2,3,0.32586202025413513,0.3300248384475708,87,20,1,63,0.8771929824561403,0.8987295560747663,0.7590361445783133,0.984375,0.8571428571428571,0.7721646550959779
S1000,Ciil,setting2,3,0.3446922302246094,0.26289159059524536,93,14,1,63,0.9122807017543859,0.9267669392523364,0.8181818181818182,0.984375,0.8936170212765957,0.8302203038658267
S1000,sst_uka,setting3,0,0.20839551091194153,0.23563219606876373,101,6,6,58,0.9298245614035088,0.9250876168224299,0.90625,0.90625,0.90625,0.8501752336448598
S1000,sst_umg,setting3,0,0.1417190134525299,0.2633282244205475,98,9,7,57,0.9064327485380117,0.9032564252336448,0.8636363636363636,0.890625,0.8769230769230769,0.8017270745329002
S1000,sst_ukk,setting3,0,0.2899334132671356,0.2437843680381775,102,5,6,58,0.935672514619883,0.9297605140186915,0.9206349206349206,0.90625,0.9133858267716536,0.8622957179569795
S1000,sst_ukl,setting3,0,0.08162187039852142,0.21844294667243958,99,8,1,63,0.9473684210526315,0.9548043224299065,0.8873239436619719,0.984375,0.9333333333333333,0.8933204595762
S1000,sst_imise,setting3,0,0.1598978191614151,0.2418794482946396,101,6,3,61,0.9473684210526315,0.9485251168224299,0.9104477611940298,0.953125,0.9312977099236641,0.889292374786322
S1000,sst_hsm,setting3,0,0.053939539939165115,0.19795668125152588,102,5,5,59,0.9415204678362573,0.9375730140186915,0.921875,0.921875,0.921875,0.8751460280373832
