data_type,approaches,distribution,repetition,train_loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
S,sst_hsm,setting1,3,0.07111448794603348,0.24495552480220795,96,11,4,60,0.9122807017543859,0.9173481308411215,0.8450704225352113,0.9375,0.8888888888888888,0.8197495178901203
S,iil,setting1,3,0.11685813218355179,0.23925547301769257,96,11,2,62,0.9239766081871345,0.9329731308411215,0.8493150684931506,0.96875,0.9051094890510949,0.8472241945699198
S,Ciil,setting1,3,0.11645758897066116,0.22265733778476715,99,8,2,62,0.9415204678362573,0.9469918224299065,0.8857142857142857,0.96875,0.9253731343283582,0.8798360296182439
S,sst_uka,setting2,0,0.13815465569496155,0.21759441494941711,101,6,11,53,0.9005847953216374,0.8860251168224299,0.8983050847457628,0.828125,0.8617886178861789,0.7859454741452199
S,sst_umg,setting2,0,0.17118874192237854,0.25515782833099365,95,12,7,57,0.8888888888888888,0.8892377336448598,0.8260869565217391,0.890625,0.8571428571428571,0.767895593508219
S,sst_ukk,setting2,0,0.3039436340332031,0.29025059938430786,97,10,4,60,0.9181286549707602,0.9220210280373832,0.8571428571428571,0.9375,0.8955223880597015,0.8306847845791326
S,sst_ukl,setting2,0,0.09118202328681946,0.2197955846786499,103,4,10,54,0.9181286549707602,0.9031834112149533,0.9310344827586207,0.84375,0.8852459016393442,0.8242544641337912
S,sst_imise,setting2,0,0.1551365852355957,0.202302947640419,104,3,10,54,0.9239766081871345,0.907856308411215,0.9473684210526315,0.84375,0.8925619834710744,0.8373927606052125
S,sst_hsm,setting2,0,0.10539436340332031,0.32051947712898254,84,23,1,63,0.8596491228070176,0.8847108644859814,0.7325581395348837,0.984375,0.84,0.7447107693276417
S,iil,setting2,0,0.16565515100955963,0.299007385969162,89,18,1,63,0.8888888888888888,0.9080753504672897,0.7777777777777778,0.984375,0.8689655172413793,0.7910218311672426
S,Ciil,setting2,0,0.1729358583688736,0.22571447491645813,98,9,3,61,0.9298245614035088,0.9345064252336448,0.8714285714285714,0.953125,0.9104477611940298,0.8552604070986883
S,sst_uka,setting2,1,0.14222989976406097,0.21255691349506378,101,6,10,54,0.9064327485380117,0.8938376168224299,0.9,0.84375,0.8709677419354839,0.7987152042621798
